title,link,published,category
Друг умершего в Индии российского депутата назвал вероятную причину его смерти,https://lenta.ru/news/2022/12/26/strange_india/,"Mon, 26 Dec 2022 19:52:00 +0300",Путешествия
Названы самые полезные для потенции витамины и продукты,https://lenta.ru/news/2022/12/26/healthyfood_men/,"Mon, 26 Dec 2022 19:52:00 +0300",Забота о себе
15-летний россиянин устроил GTA-заезд на машине матери и попал на видео,https://lenta.ru/news/2022/12/26/gta/,"Mon, 26 Dec 2022 19:47:00 +0300",Россия
Названа возможная причина объявления в розыск автора идеи по развитию России,https://lenta.ru/news/2022/12/26/davydov_rozysk/,"Mon, 26 Dec 2022 19:44:00 +0300",Силовые структуры
Российский полицейский во время отпуска нанял безработного для поджога кафе,https://lenta.ru/news/2022/12/26/podzhogcafe/,"Mon, 26 Dec 2022 19:42:00 +0300",Силовые структуры
Билл Гейтс потеряет сотни тысяч долларов на продаже дома,https://lenta.ru/news/2022/12/26/gates_ny/,"Mon, 26 Dec 2022 19:42:00 +0300",Среда обитания
Пара решила отметить помолвку и увидела смертельную схватку леопарда и медоеда,https://lenta.ru/news/2022/12/26/honey_badger/,"Mon, 26 Dec 2022 19:38:14 +0300",Из жизни
Алсу высказалась о смерти музыканта Александра Шевченко,https://lenta.ru/news/2022/12/26/alsou/,"Mon, 26 Dec 2022 19:33:50 +0300",Культура
Глава ОКР оценил призыв Украины убрать Щербакову из номинантов на премию ISU,https://lenta.ru/news/2022/12/26/pozdnyakov/,"Mon, 26 Dec 2022 19:33:24 +0300",Спорт
Российский учитель ОБЖ совратил 15-летнюю школьницу,https://lenta.ru/news/2022/12/26/objshkol/,"Mon, 26 Dec 2022 19:32:19 +0300",Силовые структуры
Украина повысит тариф на транзит нефти по «Дружбе» на 18 процентов,https://lenta.ru/news/2022/12/26/transportirovka_nefti/,"Mon, 26 Dec 2022 19:31:45 +0300",Экономика
В Роспотребнадзоре прокомментировали заражения «пожирающей мозг» амебой в Корее,https://lenta.ru/news/2022/12/26/rospotreb/,"Mon, 26 Dec 2022 19:27:18 +0300",Россия
«ВКонтакте» опровергла сообщения о сбое,https://lenta.ru/news/2022/12/26/vk/,"Mon, 26 Dec 2022 19:27:00 +0300",Интернет и СМИ
Россиянам назвали способ продлить жизнь за четыре минуты в день,https://lenta.ru/news/2022/12/26/activity/,"Mon, 26 Dec 2022 19:23:42 +0300",Забота о себе
Рогозину удалили из позвоночника застрявший после обстрела ВСУ осколок снаряда,https://lenta.ru/news/2022/12/26/oskolok/,"Mon, 26 Dec 2022 19:21:00 +0300",Россия
Воры за две минуты ограбили отделение российского банка,https://lenta.ru/news/2022/12/26/vorybank/,"Mon, 26 Dec 2022 19:19:00 +0300",Силовые структуры
Девушка установила виниры в Турции и осталась с зубами разных цветов,https://lenta.ru/news/2022/12/26/veneers/,"Mon, 26 Dec 2022 19:16:00 +0300",Ценности
Украина призвала исключить Россию из ООН,https://lenta.ru/news/2022/12/26/un_ru_ua/,"Mon, 26 Dec 2022 19:15:00 +0300",Бывший СССР
Двое россиян предстанут перед судом по делу об убийстве и расчленении приятеля,https://lenta.ru/news/2022/12/26/sobut/,"Mon, 26 Dec 2022 19:07:00 +0300",Силовые структуры
Пассажиры устроили потасовку в летевшем из Европы самолете и сорвали рейс,https://lenta.ru/news/2022/12/26/air_moldova/,"Mon, 26 Dec 2022 19:04:00 +0300",Путешествия
Талибы опровергли запрет на получение образования женщинами,https://lenta.ru/news/2022/12/26/talibneprotiv/,"Mon, 26 Dec 2022 18:59:00 +0300",Мир
Россиянам назвали способы избежать мошенников при аренде жилья на Новый год,https://lenta.ru/news/2022/12/26/blackrealestatemarket/,"Mon, 26 Dec 2022 18:55:00 +0300",Россия
Следствие попросило арестовать замглавы управления цифровизации Росавиации,https://lenta.ru/news/2022/12/26/rosaviaz/,"Mon, 26 Dec 2022 18:54:00 +0300",Силовые структуры
В Южной Корее впервые зафиксировали заражение пожирающей мозг амебой,https://lenta.ru/news/2022/12/26/negleria/,"Mon, 26 Dec 2022 18:53:00 +0300",Технологии
Место убийства двоих сыновей и дочери их матерью попало на видео,https://lenta.ru/news/2022/12/26/videomama/,"Mon, 26 Dec 2022 18:53:00 +0300",Силовые структуры
