title,link,published,category
Опубликовано видео поражения гаубицы НАТО с помощью БПЛА «Ланцет»,https://lenta.ru/news/2022/12/25/nato_lancet/,"Sun, 25 Dec 2022 17:52:54 +0300",Россия
Москвичам предрекли метель и ухудшение видимости на дорогах,https://lenta.ru/news/2022/12/25/snova_zima/,"Sun, 25 Dec 2022 17:51:00 +0300",Россия
Пожар в российском многоквартирном доме сняли на видео,https://lenta.ru/news/2022/12/25/pojar_irkutsk/,"Sun, 25 Dec 2022 17:45:13 +0300",Россия
Певица Гречка попала в больницу,https://lenta.ru/news/2022/12/25/grechka/,"Sun, 25 Dec 2022 17:38:12 +0300",Культура
В ЦСКА завили о готовности Фернандеса продлить контракт с клубом,https://lenta.ru/news/2022/12/25/fernandes/,"Sun, 25 Dec 2022 17:34:40 +0300",Спорт
Река Днестр оказалась загрязнена нефтепродуктами,https://lenta.ru/news/2022/12/25/zagryaznenie/,"Sun, 25 Dec 2022 17:32:24 +0300",Бывший СССР
ООН осудила решение талибов отстранить женщин от работы в НПО,https://lenta.ru/news/2022/12/25/oon_talib/,"Sun, 25 Dec 2022 17:30:00 +0300",Мир
Подполковник ВСУ заявил о массовом дезертирстве в своем подразделении,https://lenta.ru/news/2022/12/25/szch/,"Sun, 25 Dec 2022 17:20:00 +0300",Бывший СССР
Улицу в Кременчуге назвали именем главы украинских националистов,https://lenta.ru/news/2022/12/25/kremen4ug/,"Sun, 25 Dec 2022 17:16:00 +0300",Бывший СССР
На сухогрузном судне у берегов Турции произошел взрыв,https://lenta.ru/news/2022/12/25/blast/,"Sun, 25 Dec 2022 17:12:23 +0300",Мир
Новак заявил о провоцировании кризиса в Европе из-за потолка цен на газ,https://lenta.ru/news/2022/12/25/novak_gaz/,"Sun, 25 Dec 2022 17:05:00 +0300",Экономика
Защитившего девушку россиянина жестоко избили на популярном курорте Таиланда,https://lenta.ru/news/2022/12/25/thai_tourists/,"Sun, 25 Dec 2022 17:01:36 +0300",Путешествия
Хореограф Тутберидзе заявил о сбежавшей с чемпионата России Трусовой,https://lenta.ru/news/2022/12/25/jeleznykov/,"Sun, 25 Dec 2022 16:54:59 +0300",Спорт
Иран захотел помочь афганским женщинам в образовании,https://lenta.ru/news/2022/12/25/hazali_hazali/,"Sun, 25 Dec 2022 16:50:00 +0300",Мир
Новак предупредил о дефиците газа в Европе,https://lenta.ru/news/2022/12/25/novvvak/,"Sun, 25 Dec 2022 16:33:00 +0300",Экономика
Девушка с необычной фобией боялась мишуры в течение 20 лет,https://lenta.ru/news/2022/12/25/tinsel/,"Sun, 25 Dec 2022 16:28:00 +0300",Из жизни
Бывший депутат Рады посоветовал украинцам бежать из страны,https://lenta.ru/news/2022/12/25/begstvo/,"Sun, 25 Dec 2022 16:01:00 +0300",Бывший СССР
Украинские военные попали под «огненный дождь» в Марьинке,https://lenta.ru/news/2022/12/25/marienka/,"Sun, 25 Dec 2022 15:59:00 +0300",Россия
В офисе Зеленского допустили прекращение поддержки Украины со стороны США,https://lenta.ru/news/2022/12/25/usa_support/,"Sun, 25 Dec 2022 15:55:00 +0300",Бывший СССР
По всей Украине дважды за день объявили воздушную тревогу,https://lenta.ru/news/2022/12/25/again_again/,"Sun, 25 Dec 2022 15:55:00 +0300",Бывший СССР
В России объяснили слова Путина о приемлемых развязках с Украиной,https://lenta.ru/news/2022/12/25/chepa/,"Sun, 25 Dec 2022 15:55:00 +0300",Бывший СССР
Кадыров сообщил о прибытии в Чечню Кириенко и Трутнева,https://lenta.ru/news/2022/12/25/kadyrov/,"Sun, 25 Dec 2022 15:51:25 +0300",Россия
Представлена сборная самых дорогих футболистов мира,https://lenta.ru/news/2022/12/25/team_rich/,"Sun, 25 Dec 2022 15:51:00 +0300",Спорт
Парижский стрелок планировал поехать в пригород «убивать иностранцев»,https://lenta.ru/news/2022/12/25/strelok_plan/,"Sun, 25 Dec 2022 15:48:00 +0300",Мир
В Иране ответили на угрозы атаки Украины,https://lenta.ru/news/2022/12/25/ataka_iran/,"Sun, 25 Dec 2022 15:47:00 +0300",Мир
В Санкт-Петербурге ограбили Деда Мороза,https://lenta.ru/news/2022/12/25/voting/,"Sun, 25 Dec 2022 15:35:00 +0300",Россия
ВСУ при обстреле повредили здание химического завода «Стирол» в Донецке,https://lenta.ru/news/2022/12/25/stirol/,"Sun, 25 Dec 2022 15:30:00 +0300",Россия
Организатор кемеровского приюта не пустил пожарного инспектора для проверки,https://lenta.ru/news/2022/12/25/pojar_proverka/,"Sun, 25 Dec 2022 15:16:00 +0300",Россия
12-летний подросток с сообщниками задушил и ограбил супругов,https://lenta.ru/news/2022/12/25/murder/,"Sun, 25 Dec 2022 15:03:00 +0300",Из жизни
В ДНР беспилотник обратил в бегство отряд ВСУ и попал на видео,https://lenta.ru/news/2022/12/25/begom_begom/,"Sun, 25 Dec 2022 15:01:00 +0300",Россия
Большинство немцев выступили против поставок боевых танков Украине,https://lenta.ru/news/2022/12/25/tanki_protiv/,"Sun, 25 Dec 2022 14:54:00 +0300",Мир
Китай провел военные учения со стрельбами и патрулирование около острова Тайвань,https://lenta.ru/news/2022/12/25/china_uchenie/,"Sun, 25 Dec 2022 14:49:00 +0300",Мир
Туктамышева сравнила призовые на чемпионатах России и мира,https://lenta.ru/news/2022/12/25/tuktik/,"Sun, 25 Dec 2022 14:48:00 +0300",Спорт
Шойгу заявил о противодействии сил Запада российским войскам на Украине,https://lenta.ru/news/2022/12/25/shoygu_zapad/,"Sun, 25 Dec 2022 14:46:00 +0300",Россия
На востоке и в центре Украины снова объявили воздушную тревогу,https://lenta.ru/news/2022/12/25/snova_ona/,"Sun, 25 Dec 2022 14:41:00 +0300",Бывший СССР
Переехавшая в Аргентину россиянка описала страну фразой «жизнь тут не танго»,https://lenta.ru/news/2022/12/25/argentina/,"Sun, 25 Dec 2022 14:38:00 +0300",Путешествия
57-летняя актриса снялась в откровенном наряде в честь Рождества,https://lenta.ru/news/2022/12/25/eliza/,"Sun, 25 Dec 2022 14:32:00 +0300",Ценности
«Человек-слон» рассказал о своем заболевании,https://lenta.ru/news/2022/12/25/elephant_man/,"Sun, 25 Dec 2022 14:31:00 +0300",Ценности
Турция и Россия обсудили открытие воздушного пространства Сирии для ВВС,https://lenta.ru/news/2022/12/25/turkish_rus/,"Sun, 25 Dec 2022 14:27:00 +0300",Россия
Раздачу повесток на улицах Украины сняли на видео,https://lenta.ru/news/2022/12/25/povestka_ukr/,"Sun, 25 Dec 2022 14:17:00 +0300",Бывший СССР
Косметолог сделала операцию по уменьшению щек и осталась с волдырями во рту,https://lenta.ru/news/2022/12/25/plastic/,"Sun, 25 Dec 2022 14:09:00 +0300",Ценности
Умер бывший главнокомандующий сухопутными войсками ВС РФ,https://lenta.ru/news/2022/12/25/maslov/,"Sun, 25 Dec 2022 14:03:00 +0300",Россия
Минобороны доложило о разбитом месте дислокации наемников вблизи Артемовска,https://lenta.ru/news/2022/12/25/artemovsk_kk/,"Sun, 25 Dec 2022 13:59:00 +0300",Россия
В ЛНР заявили о переброске подкрепления ВСУ под Сватово,https://lenta.ru/news/2022/12/25/perebroska/,"Sun, 25 Dec 2022 13:52:00 +0300",Россия
Российские военные поразили две ротные группы ВСУ на южно-донецком направлении,https://lenta.ru/news/2022/12/25/vsu_rus/,"Sun, 25 Dec 2022 13:50:00 +0300",Россия
Левандовски оценил победу Месси на чемпионате мира-2022,https://lenta.ru/news/2022/12/25/robert/,"Sun, 25 Dec 2022 13:48:00 +0300",Спорт
Появились кадры подготовки танков «Армата» в зоне СВО,https://lenta.ru/news/2022/12/25/armata/,"Sun, 25 Dec 2022 13:42:00 +0300",Наука и техника
В Минобороны назвали потери ВСУ на купянском направлении,https://lenta.ru/news/2022/12/25/napravlenie/,"Sun, 25 Dec 2022 13:36:00 +0300",Мир
"Российские военные сбили пять беспилотников ВСУ в ЛНР, ДНР и Запорожской области",https://lenta.ru/news/2022/12/25/vsu_minus/,"Sun, 25 Dec 2022 13:32:00 +0300",Россия
Российские военные уничтожили украинские РСЗО «Ураган» и «Град»,https://lenta.ru/news/2022/12/25/sever_rszo/,"Sun, 25 Dec 2022 13:30:00 +0300",Россия
Российские войска поразили две ротные группы ВСУ на краснолиманском направлении,https://lenta.ru/news/2022/12/25/2rot/,"Sun, 25 Dec 2022 13:26:00 +0300",Россия
В Кремле назвали неприемлемыми любые потолки цен на энергоресурсы,https://lenta.ru/news/2022/12/25/peskov_potolok/,"Sun, 25 Dec 2022 13:22:00 +0300",Россия
Песков опроверг взаимодействие России и Белоруссии против стран третьего мира,https://lenta.ru/news/2022/12/25/strana_mira/,"Sun, 25 Dec 2022 13:18:00 +0300",Россия
Путин заявил о способности России уничтожить комплексы Patriot на Украине,https://lenta.ru/news/2022/12/25/patriot/,"Sun, 25 Dec 2022 13:14:00 +0300",Россия
